,synopsis,genre
24881,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",action
10622,"Forced for some time to be a fighting slave, a pagan warrior escapes his captors with a boy and joins a group of Crusaders on their quest to the Holy Land.",action
31937,Every day at 6 pm a serial killer kills a different person. Police officer Helena Rus decides to find the killer by researching about 18th century history of the city.,action
23916,A young couple must overcome tremendous odds to gain an opportunity to make history.,action
21073,"A horror-comedy about two blue-collar factory workers (who happen to be jiu-jitsu experts) dealing with a ravenous, flesh-eating zombie uprising in Tokyo.",action
15308,"What happens when a quiet martial arts master gets mixed up with a hustler with a product to sell, a hottie who knows no limits and a dumb rich guy who's caught in the wrong place?",action
45015,"Trained as soldiers with a string of medals, yet nothing in their experience prepared them for the mission of their lives.",action
13789,"Harassed by the terrorists, chased by the police, his only choice is to escape.",action
24721,"Left home alone with his dog Harry, young Ray finds himself in a bit of trouble when Harry gets loose in the suspicious neighbor's house and accidentally knocks over a top-secret invisibility potion.",adventure
9796,"A modern descendant from the famous pirate ""Black Beard"" Jonathan sets out to honor his great great great grandfather's legacy.",adventure
31844,Three soldiers find they can no longer handle the battlefield slaughter of World War II. They desert and make their way to a serene South Seas island hopeful that they can find peace.,adventure
23615,Two couples explore the complexities of modern day relationships.,adventure
20872,"Faced with the prospect of a dim future in his impoverished village, young Shankar bids farewell to his family in rural Bengal and makes a journey to the fabled ""Mountain Of The Moon"" in search of gold and diamond mines.",adventure
14675,"A marketing consultant, who has a psychological sensitivity to corporate symbols, is hired to seek the creators of film clips anonymously posted to the internet - before uncovering a larger conspiracy.",adventure
45254,A captain aids another ship only to find pirates attacking and after being routed they discover a strange history to the pirates leading them to an unexpected alliance.,adventure
12968,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",adventure
24911,"An ex-cop turned private Investigator struggles to put together the pieces of a new case, but with each clue he finds trouble seems to follow.",crime
10725,"While visiting a village in France, Cecile uncovers the darkest and most exciting secrets of the place.",crime
31566,A man comes into town to investigate the murder of an old friend while reconnecting with another involved in the very syndicate that may have taken his friend's life.,crime
23999,"After saving the world from economic collapse, a researcher is forced to a hearing where he must face his creation.",crime
21637,"After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman.",crime
15474,"Desperate to reconnect with his former partner and lover, Ray Unic a disgraced cop plots a kidnap-for-ransom knowing his ex-partner Jane Scott will lead the investigation.",crime
45028,A young undercover cop woos the innocent sister of a Triad big brother in order to bring him down.,crime
13897,"When a wealthy Long Island society woman is discovered dead in an abandoned cottage, suspicion falls on her husband, an ex-boyfriend, and a romantic rival.",crime
24993,A once happily married couple struggling for answers after the birth of their only child leaves it's mother distressed and withdrawn. What might change their lives for the better. Therapy.,family
10552,"Behind a castle inhabited by supposed ghosts, a secret laboratory hides.",family
31769,The story of a rich merchant who came to Istanbul from Anatolia and got into politics.,family
23954,A despicable person is reincarnated as a dog in order to atone for his life's big mistakes.,family
21283,Brian tracks down his mysterious grandfather.,family
15011,"Las Vegas Headliner, Billy Rizzo, loses it all and becomes homeless. Fate and Faith, intervene and he returns to the top, with a different mindset and view of those in need, to be a ministry to the homeless.",family
45666,The plot is temporarily undisclosed.,family
13528,A wealthy publisher uses a disguise and calls himself the Green Hornet to fight crime in his city.,family
24953,"Presented in a surreal, gory and entirely visual manner, Begotten tells of the death of religion, the abuse of nature by Man and a nihilistic outlook on what life ultimately is.",fantasy
10647,"Betrayed by his own brother Set, Osiris, a primeval king of Egypt, comes back to life to defend his kingdom.",fantasy
32110,A beautiful young drifter comes to a small village and battles Death itself to save the man she loves.,fantasy
24030,An astronaut's widow and her young son meet a stranger from the future on a Greek island.,fantasy
21454,"Anything is possible when a mysterious professor tells young Tim about a supernova that grants wishes. Unfortunately, when Tim's wish doesn't go as planned, he finds himself in a dog's body.",fantasy
15126,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",fantasy
45659,"While investigating the potential logging of a Tasmanian forest, a plant geneticist forms an unexpected relationship with a supernatural entity.",fantasy
13585,"A man and a woman get into a car accident with a witch, who takes out her anger on them by switching their bodies. The whole movie deals with their predicament.",fantasy
24583,A home invasion occurs at the same time aliens invade the planet.,horror
10446,Inmates from the local insane asylum escape and terrorize the small town of Pine Valley.,horror
31212,A family is cursed Morgann who keeps coming back to take their souls in return to spare a life,horror
23523,"When Angelica wakes from a coma in an asylum, she must rediscover who she is by confronting who she was. These walls hold numerous horrors she must battle, including a visitor who wants to see her home for the holidays...in a body bag.",horror
20987,"Two years after the release of the Stab reboot the cast is murdered one-by-one by Ghost Face, as the rest of the cast scrambles to figure out who's behind the mask and how to survive.",horror
14946,"A family in Greek mythology is terrorized by a new mystery religion, and a supernatural being known as a demigod.",horror
44583,A group of friends take a hiking trip through a remote part of the Appalachians. Their vacation takes a perilous turn when an ancient power is unleashed.,horror
13299,A park ranger spends the night guarding a potential crime scene on a remote mountain trail.,horror
24343,A detective fantasy / family drama where a love of words helps a father reconnect with a missing son.,mystery
10470,"The dark and romantic story of the first meeting between master thief Diabolik and Eva Kant, set in the fictional state of Clerville in the late 1960s. Inspector Ginko is on the hunt for the criminal, trying to stop his evil plans.",mystery
31232,A girls weekend in a remote cottage in the Ardennes. Relationships are put into focus - do the four girls know everything about each other? The filming of the 'best youth book' of 2012 written by Mel Wallis de Vries.,mystery
23394,"A young girl has been left an orphan but in the custody of her step parents. From the afterlife, her parents look out for her and don't like the treatment she is getting.",mystery
20727,"When an 11-year-old girl is brutally raped and murdered in a quiet French village, a police detective who has forgotten how to feel emotions--because of the death of his own family in some kind of accident--investigates the crime, which turns out to ask more questions than it answers.",mystery
14895,Six teenagers decide to spend the night at an old abandoned school where 27 years ago a horrible massacre occurred. The kids run afoul of the vicious crazed security guard who committed the brutal killings.,mystery
45151,"This story is about the pure relationship between two people who are from different periods/times - One is the past and the other one is present, two periods meet and create a new future It's all about the story.",mystery
13322,A woman's joy at finding her long-lost daughter is threatened when the girl faces a prison sentence after being framed for murder.,mystery
24853,"A heartwarming and bittersweet love story of a man and a woman, who are strongly bonded by a longtime promise.",romance
10616,"As the daring thief Arsène Lupin (Romain Duris) ransacks the homes of wealthy Parisians, the Police, with a secret weapon in their arsenal, attempt to ferret him out.",romance
31837,"A man, returning home, has a car accident.",romance
23712,A story about a young girl who leaves her hometown to pursue her dream of becoming a famous punk artist.,romance
20986,Three women struggle with their insecurities about how they look as they get caught up in the building craze for a new beauty product.,romance
15007,"A young woman cycles through seven relationships, each one depicted in a distinct cinematic style. As she adapts all-too-seamlessly to the world of each new partner, she begins to ask herself the question: who am I when I'm not in love?",romance
45596,"A fateful party encounter throws a naive Sam into a deep infatuation with the free-spirited Claire, pressured by their swelling dependency Sam is forced to confront some of his own grimy truths.",romance
13496,"Two girls, one guy; one night, lots of memories.",romance
24674,The door of time opens between the swordsman who wants to seize the legendary divine sword at the end of the Goryeo Dynasty and those who chase after an alien prisoner imprisoned in a human body in 2022.,scifi
10178,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",scifi
31575,"A group of college students set out into the Northwestern wilderness to document and prove the existence of the mythological creature, Big Foot. But this weekend adventure quickly turns into a fight for survival.",scifi
23779,"In a futuristic version of medieval Japan, a band of swordsmen battles an evil warlord and his mechanical army of ninjas, and are aided by a mysterious heroic cyborg ninja, Shiranui.",scifi
20939,a NASA co-worker volunteers to travel to space that's when he realizes the truth behind existence and life.,scifi
14747,The story about a woman that must survive to an alien parasite invasion that have taken all the town where she is.,scifi
45119,Starships sent from the Astralys station to the probe make an incredible discovery. The probe is a growing organism and its biological properties give origin to a portal that leads to what is known as the antiverse.,scifi
13023,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.",scifi
24560,A twisted tale of revenge.,thriller
10706,"An inmate is accused of murdering her cellmate, but the ensuing investigation uncovers a twisted web of secrets and lies.",thriller
31567,A young engineer must fight for his life when he finds himself trapped in his autonomous driverless car that is being controlled by a hacker who has hijacked the car's internal system.,thriller
23464,"A family man on vacation meets up with a mysterious person named Harry, who claims to have known him in high school.",thriller
20966,"A Chinese-American cop, skilled in martial arts, battles the most powerful criminal gang in San Francisco that is responsible for the death of his partner.",thriller
15146,A rugged ex-cop P.I. and a beautiful British female insurance investigator search for diamonds that were stolen in a brutal robbery.,thriller
44816,"After sneaking to a party with her friends, 16-year-old Amber Stevens goes missing. Forced into the world of sex trafficking, her family and community fight to get her back. Inspired by actual events.",thriller
13463,Not available for public display.,thriller
